Vial,Symbiont ID,Species,Reef,Site
A ten 098,Plate7_C002,Ahumilis,Flinders,Flinders 5
A ten 121,Plate7_C003,Ahumilis,Flinders,Flinders 2
A ten 169,Plate7_C004,Ahumilis,Lihou,Lihou 1
A ten 195,Plate7_C005,Ahumilis,Lihou,Lihou 2
A ten 224,Plate7_C006,Ahumilis,Moore,Moore 3
A ten 236,Plate7_C007,Ahumilis,Holmes,Holmes 7
A ten 270,Plate7_C008,Ahumilis,Bougainville,Bougainville 4
A ten 286,Plate7_C009,Ahumilis,Bougainville,Bougainville 5
A ten 017,Plate7_D001,Ahumilis,Wreck,Wreck 2
A ten 101,Plate7_D002,Ahumilis,Flinders,Flinders 5
A ten 122,Plate7_D003,Ahumilis,Flinders,Flinders 2
A ten 171,Plate7_D004,Ahumilis,Lihou,Lihou 1
A ten 196,Plate7_D005,Ahumilis,Lihou,Lihou 2
A ten 225,Plate7_D006,Ahumilis,Moore,Moore 3
A ten 242,Plate7_D007,Ahumilis,Holmes,Holmes 1
A ten 275,Plate7_D008,Ahumilis,Bougainville,Bougainville 1
A ten 289,Plate7_D009,Ahumilis,Bougainville,Bougainville 5
A ten 022,Plate7_E001,Ahumilis,Wreck,Wreck 1
A ten 105,Plate7_E002,Ahumilis,Flinders,Flinders 5
A ten 127,Plate7_E003,Ahumilis,Flinders,Flinders 2
A ten 172,Plate7_E004,Ahumilis,Lihou,Lihou 1
A ten 199,Plate7_E005,Ahumilis,Lihou,Lihou 2
A ten 226,Plate7_E006,Ahumilis,Moore,Moore 3
A ten 245,Plate7_E007,Ahumilis,Holmes,Holmes 1
A ten 276,Plate7_E008,Ahumilis,Bougainville,Bougainville 1
A ten 291,Plate7_E009,Ahumilis,Bougainville,Bougainville 5
A ten 029,Plate7_F001,Ahumilis,Wreck,Wreck 1
A ten 108,Plate7_F002,Ahumilis,Flinders,Flinders 6
A ten 130,Plate7_F003,Ahumilis,Herald,Herald 1
A ten 173,Plate7_F004,Ahumilis,Lihou,Lihou 1
A ten 200,Plate7_F005,Ahumilis,Lihou,Lihou 2
A ten 228,Plate7_F006,Ahumilis,Holmes,Holmes 7
A ten 247,Plate7_F007,Ahumilis,Holmes,Holmes 1
A ten 277,Plate7_F008,Ahumilis,Bougainville,Bougainville 1
A ten 293,Plate7_F009,Ahumilis,Osprey,Osprey 6
A ten 033,Plate7_G001,Ahumilis,Wreck,Wreck 4
A ten 112,Plate7_G002,Ahumilis,Flinders,Flinders 6
A ten 136,Plate7_G003,Ahumilis,Herald,Herald 1
A ten 175,Plate7_G004,Ahumilis,Lihou,Lihou 1
A ten 208,Plate7_G005,Ahumilis,Moore,Moore 5
A ten 229,Plate7_G006,Ahumilis,Holmes,Holmes 7
A ten 251,Plate7_G007,Ahumilis,Holmes,Holmes 1
A ten 278,Plate7_G008,Ahumilis,Bougainville,Bougainville 1
A ten 296,Plate7_G009,Ahumilis,Osprey,Osprey 6
A ten 048,Plate7_H001,Ahumilis,Frederick,Frederick 4
A ten 116,Plate7_H002,Ahumilis,Flinders,Flinders 2
A ten 148,Plate7_H003,Ahumilis,Chilcott,Chilcott 2
A ten 180,Plate7_H004,Ahumilis,Lihou,Lihou 1
A ten 219,Plate7_H005,Ahumilis,Moore,Moore 4
A ten 230,Plate7_H006,Ahumilis,Holmes,Holmes 7
A ten 252,Plate7_H007,Ahumilis,Holmes,Holmes 1
A ten 281,Plate7_H008,Ahumilis,Bougainville,Bougainville 5
A ten 302,Plate7_H009,Ahumilis,Osprey,Osprey 6
